BotName	SettingName	SettingJson	GameWord	TotalGuessesMade	LatestGameState	GameResult
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AALII"}	10	{"current_state": "A A _ _ _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["T", "J", "X", "P", "H", "R", "Q", "Y", "O"], "game_word": {"game_word": "AALII"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AA"}	10	{"current_state": "_ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["X", "B", "N", "V", "O", "L", "K", "Z", "Q", "Y"], "game_word": {"game_word": "AA"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AA"}	19	{"current_state": "A A", "guesses_left": 1, "correct_guesses": ["A"], "incorrect_guesses": ["B", "V", "D", "T", "Q", "G", "K", "E", "I", "U", "J", "F", "R", "Y", "H", "O", "Z", "L"], "game_word": {"game_word": "AA"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ _ _ R K", "guesses_left": 0, "correct_guesses": ["R", "K"], "incorrect_guesses": ["P", "M", "T", "Q", "J", "N", "B", "O"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ V _ R K", "guesses_left": 0, "correct_guesses": ["R", "K", "V"], "incorrect_guesses": ["Y", "O", "B", "S", "H", "W", "M"], "game_word": {"game_word": "AARDVARK"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAL"}	10	{"current_state": "A A _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["U", "F", "Y", "J", "R", "D", "S", "Z", "Q"], "game_word": {"game_word": "AAL"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AANI"}	20	{"current_state": "A A N I", "guesses_left": 0, "correct_guesses": ["I", "N", "A"], "incorrect_guesses": ["Z", "X", "S", "E", "W", "L", "R", "J", "U", "D", "V", "B", "F", "T", "Y", "C", "O"], "game_word": {"game_word": "AANI"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ R _ _ _ R _", "guesses_left": 0, "correct_guesses": ["R"], "incorrect_guesses": ["Y", "Z", "B", "W", "U", "F", "L", "Q", "S"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "A A M", "guesses_left": 0, "correct_guesses": ["A", "M"], "incorrect_guesses": ["I", "G", "L", "E", "J", "X", "R", "W"], "game_word": {"game_word": "AAM"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AANI"}	10	{"current_state": "A A _ _", "guesses_left": 0, "correct_guesses": ["A"], "incorrect_guesses": ["P", "O", "U", "Q", "S", "Z", "F", "H", "G"], "game_word": {"game_word": "AANI"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAM"}	20	{"current_state": "A A M", "guesses_left": 0, "correct_guesses": ["M", "A"], "incorrect_guesses": ["J", "H", "X", "I", "V", "W", "Y", "F", "O", "Z", "T", "P", "U", "E", "N", "B", "D", "K"], "game_word": {"game_word": "AAM"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "A A R _ _ A R _", "guesses_left": 0, "correct_guesses": ["A", "R"], "incorrect_guesses": ["I", "H", "B", "C", "S", "P", "Z", "G"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	10	{"current_state": "_ _ _ O N", "guesses_left": 0, "correct_guesses": ["N", "O"], "incorrect_guesses": ["W", "U", "H", "T", "I", "F", "K", "Y"], "game_word": {"game_word": "AARON"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "_ _ M", "guesses_left": 0, "correct_guesses": ["M"], "incorrect_guesses": ["N", "Z", "Q", "L", "F", "I", "G", "K", "W"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AALII"}	20	{"current_state": "A A _ I I", "guesses_left": 0, "correct_guesses": ["A", "I"], "incorrect_guesses": ["H", "R", "U", "F", "Y", "O", "B", "Q", "J", "C", "V", "W", "X", "S", "Z", "P", "M", "N"], "game_word": {"game_word": "AALII"}}	lose
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "_ _ _ D _ O _ F", "guesses_left": 0, "correct_guesses": ["F", "D", "O"], "incorrect_guesses": ["G", "T", "E", "B", "U", "M", "J"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "A"}	7	{"current_state": "A", "guesses_left": 3, "correct_guesses": ["A"], "incorrect_guesses": ["M", "P", "L", "S", "X", "U"], "game_word": {"game_word": "A"}}	win
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	10	{"current_state": "_ _ _ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["L", "E", "Y", "Z", "J", "H", "U", "S", "M", "V"], "game_word": {"game_word": "AARON"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAL"}	19	{"current_state": "A A L", "guesses_left": 1, "correct_guesses": ["A", "L"], "incorrect_guesses": ["K", "G", "W", "F", "X", "Q", "J", "S", "M", "D", "O", "B", "U", "T", "I", "R", "V"], "game_word": {"game_word": "AAL"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDWOLF"}	10	{"current_state": "A A _ D _ O L F", "guesses_left": 0, "correct_guesses": ["F", "L", "A", "O", "D"], "incorrect_guesses": ["E", "Z", "K", "G", "P"], "game_word": {"game_word": "AARDWOLF"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AAM"}	10	{"current_state": "_ _ M", "guesses_left": 0, "correct_guesses": ["M"], "incorrect_guesses": ["Q", "S", "Y", "T", "C", "V", "R", "G", "O"], "game_word": {"game_word": "AAM"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "AARON"}	10	{"current_state": "_ _ _ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["Q", "B", "I", "D", "C", "M", "F", "E", "L", "X"], "game_word": {"game_word": "AARON"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AAL"}	14	{"current_state": "A A L", "guesses_left": 6, "correct_guesses": ["L", "A"], "incorrect_guesses": ["Z", "H", "G", "B", "R", "K", "U", "X", "W", "I", "O", "T"], "game_word": {"game_word": "AAL"}}	win
BasicRandomBot	MediumWords(7-12 letters)	{"WordLengthLowerBound": 6, "WordLengthUpperBound": 11, "TotalGuessesAllowed": 10}	{"game_word": "AARDVARK"}	10	{"current_state": "_ _ _ _ _ _ _ _", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["N", "B", "P", "T", "W", "L", "M", "H", "G", "J"], "game_word": {"game_word": "AARDVARK"}}	lose
N/A	NoPossibleGame	{"WordLengthLowerBound": 1500}	N/A	N/A	N/A	Error: No game created for given settings!
BasicRandomBot	Default	{"WordLengthLowerBound": null, "WordLengthUpperBound": null, "TotalGuessesAllowed": 10}	{"game_word": "AALII"}	10	{"current_state": "A A L _ _", "guesses_left": 0, "correct_guesses": ["L", "A"], "incorrect_guesses": ["W", "D", "Y", "Q", "P", "J", "B", "V"], "game_word": {"game_word": "AALII"}}	lose
BasicRandomBot	ShortWords(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 10}	{"game_word": "A"}	10	{"current_state": "_", "guesses_left": 0, "correct_guesses": [], "incorrect_guesses": ["B", "W", "Z", "H", "O", "V", "M", "Q", "I", "L"], "game_word": {"game_word": "A"}}	lose
BasicRandomBot	ShortWords20Guesses(1-6 letters)	{"WordLengthLowerBound": 0, "WordLengthUpperBound": 5, "TotalGuessesAllowed": 20}	{"game_word": "AARON"}	20	{"current_state": "A A _ O N", "guesses_left": 0, "correct_guesses": ["O", "N", "A"], "incorrect_guesses": ["Z", "P", "Y", "T", "D", "F", "Q", "J", "E", "V", "S", "C", "B", "K", "G", "X", "L"], "game_word": {"game_word": "AARON"}}	lose
